0.25 0.05 2
0.75 0.05 4
1.25 0.05 5
1.75 0.05 4
2.25 0.05 1
2.75 0.05 4
3.25 0.05 2
3.75 0.05 3
4.25 0.05 3
4.75 0.05 1
5.25 0.05 2
5.75 0.05 2
6.25 0.05 3
6.75 0.05 1
7.25 0.05 4
7.75 0.05 6
8.25 0.05 4
8.75 0.05 7
9.25 0.05 3
9.75 0.05 5
10.25 0.05 2
10.75 0.05 3
11.25 0.05 1
11.75 0.05 2
12.25 0.05 5
12.75 0.05 2
13.25 0.05 8
13.75 0.05 3
14.25 0.05 2
14.75 0.05 9
15.25 0.05 5
15.75 0.05 4
16.25 0.05 10
16.75 0.05 4
17.25 0.05 3
17.75 0.05 4
18.25 0.05 6
18.75 0.05 2
19.25 0.05 4
19.75 0.05 3
20.25 0.05 1
20.75 0.05 1
21.25 0.05 1
21.75 0.05 4
22.25 0.05 6
22.75 0.05 6
23.25 0.05 4
23.75 0.05 2
24.25 0.05 3
24.75 0.05 4
25.25 0.05 3
25.75 0.05 1
26.25 0.05 1
26.75 0.05 2
27.25 0.05 8
27.75 0.05 4
28.25 0.05 4
28.75 0.05 1
29.25 0.05 3
29.75 0.05 3
30.25 0.05 5
30.75 0.05 4
31.25 0.05 2
31.75 0.05 3
32.25 0.05 4
32.75 0.05 0
33.25 0.05 0
33.75 0.05 0
34.25 0.05 0
34.75 0.05 0
35.25 0.05 0
35.75 0.05 0
36.25 0.05 0
36.75 0.05 0
37.25 0.05 0
37.75 0.05 0
38.25 0.05 0
38.75 0.05 0
39.25 0.05 0
39.75 0.05 0

0.25 0.15 5
0.75 0.15 2
1.25 0.15 2
1.75 0.15 2
2.25 0.15 2
2.75 0.15 3
3.25 0.15 2
3.75 0.15 3
4.25 0.15 5
4.75 0.15 4
5.25 0.15 4
5.75 0.15 2
6.25 0.15 4
6.75 0.15 5
7.25 0.15 2
7.75 0.15 1
8.25 0.15 4
8.75 0.15 3
9.25 0.15 3
9.75 0.15 1
10.25 0.15 7
10.75 0.15 1
11.25 0.15 1
11.75 0.15 5
12.25 0.15 4
12.75 0.15 4
13.25 0.15 2
13.75 0.15 3
14.25 0.15 2
14.75 0.15 5
15.25 0.15 2
15.75 0.15 1
16.25 0.15 1
16.75 0.15 3
17.25 0.15 2
17.75 0.15 6
18.25 0.15 2
18.75 0.15 4
19.25 0.15 2
19.75 0.15 3
20.25 0.15 1
20.75 0.15 2
21.25 0.15 2
21.75 0.15 2
22.25 0.15 2
22.75 0.15 3
23.25 0.15 5
23.75 0.15 3
24.25 0.15 3
24.75 0.15 1
25.25 0.15 1
25.75 0.15 1
26.25 0.15 0
26.75 0.15 3
27.25 0.15 2
27.75 0.15 1
28.25 0.15 2
28.75 0.15 2
29.25 0.15 0
29.75 0.15 1
30.25 0.15 3
30.75 0.15 4
31.25 0.15 1
31.75 0.15 6
32.25 0.15 3
32.75 0.15 0
33.25 0.15 0
33.75 0.15 0
34.25 0.15 0
34.75 0.15 0
35.25 0.15 0
35.75 0.15 0
36.25 0.15 0
36.75 0.15 0
37.25 0.15 0
37.75 0.15 0
38.25 0.15 0
38.75 0.15 0
39.25 0.15 0
39.75 0.15 0

0.25 0.25 1
0.75 0.25 2
1.25 0.25 3
1.75 0.25 3
2.25 0.25 2
2.75 0.25 4
3.25 0.25 0
3.75 0.25 5
4.25 0.25 6
4.75 0.25 2
5.25 0.25 4
5.75 0.25 3
6.25 0.25 5
6.75 0.25 4
7.25 0.25 4
7.75 0.25 2
8.25 0.25 3
8.75 0.25 3
9.25 0.25 1
9.75 0.25 3
10.25 0.25 3
10.75 0.25 5
11.25 0.25 6
11.75 0.25 6
12.25 0.25 2
12.75 0.25 3
13.25 0.25 4
13.75 0.25 2
14.25 0.25 1
14.75 0.25 2
15.25 0.25 4
15.75 0.25 8
16.25 0.25 3
16.75 0.25 3
17.25 0.25 0
17.75 0.25 3
18.25 0.25 0
18.75 0.25 4
19.25 0.25 4
19.75 0.25 4
20.25 0.25 4
20.75 0.25 5
21.25 0.25 5
21.75 0.25 5
22.25 0.25 4
22.75 0.25 4
23.25 0.25 1
23.75 0.25 4
24.25 0.25 4
24.75 0.25 4
25.25 0.25 5
25.75 0.25 0
26.25 0.25 3
26.75 0.25 7
27.25 0.25 4
27.75 0.25 7
28.25 0.25 4
28.75 0.25 1
29.25 0.25 6
29.75 0.25 4
30.25 0.25 3
30.75 0.25 5
31.25 0.25 1
31.75 0.25 3
32.25 0.25 5
32.75 0.25 0
33.25 0.25 0
33.75 0.25 0
34.25 0.25 0
34.75 0.25 0
35.25 0.25 0
35.75 0.25 0
36.25 0.25 0
36.75 0.25 0
37.25 0.25 0
37.75 0.25 0
38.25 0.25 0
38.75 0.25 0
39.25 0.25 0
39.75 0.25 0

0.25 0.35 1
0.75 0.35 2
1.25 0.35 3
1.75 0.35 4
2.25 0.35 3
2.75 0.35 3
3.25 0.35 3
3.75 0.35 1
4.25 0.35 1
4.75 0.35 2
5.25 0.35 7
5.75 0.35 5
6.25 0.35 5
6.75 0.35 2
7.25 0.35 3
7.75 0.35 1
8.25 0.35 5
8.75 0.35 4
9.25 0.35 2
9.75 0.35 3
10.25 0.35 5
10.75 0.35 2
11.25 0.35 2
11.75 0.35 3
12.25 0.35 2
12.75 0.35 4
13.25 0.35 0
13.75 0.35 1
14.25 0.35 5
14.75 0.35 4
15.25 0.35 4
15.75 0.35 2
16.25 0.35 3
16.75 0.35 2
17.25 0.35 3
17.75 0.35 4
18.25 0.35 3
18.75 0.35 4
19.25 0.35 2
19.75 0.35 0
20.25 0.35 1
20.75 0.35 2
21.25 0.35 4
21.75 0.35 2
22.25 0.35 1
22.75 0.35 2
23.25 0.35 4
23.75 0.35 3
24.25 0.35 3
24.75 0.35 3
25.25 0.35 5
25.75 0.35 2
26.25 0.35 0
26.75 0.35 7
27.25 0.35 2
27.75 0.35 4
28.25 0.35 3
28.75 0.35 0
29.25 0.35 1
29.75 0.35 5
30.25 0.35 1
30.75 0.35 3
31.25 0.35 3
31.75 0.35 5
32.25 0.35 1
32.75 0.35 0
33.25 0.35 0
33.75 0.35 0
34.25 0.35 0
34.75 0.35 0
35.25 0.35 0
35.75 0.35 0
